"method","path","required_role","required_permission","body","required_params","optional_params","expected_response","notes"
"GET","/api/up"...,"Public","None","None","None","None","{""scope"":""central"",""ok"":true}","Health check for the central context."
"POST","/api/v1/admin/auth/login","Central Admin","None","{""email"":""admin@example.com"",""password"":""StrongPassword123!""}","email, password","None","200 OK with auth token and user info","Central authentication endpoint."
"GET","/api/v1/admin/tenants","Central Admin","tenant.viewAny","None","None","None","200 OK with paginated tenant list","Lists all tenants."
"POST","/api/v1/admin/tenants","Central Admin","tenant.create","{""organization_name"":""Acme"",""primary_contact_email"":""owner@example.com"",""domain"":""acme""}","organization_name, primary_contact_email, domain","organization_type, primary_contact_phone, status, max_concurrent_users","201 Created with tenant resource","Creates a new tenant."
"GET","/api/v1/admin/tenants/{tenantId}","Central Admin","tenant.view","None","None","None","200 OK with tenant resource","Shows a single tenant."
"PATCH","/api/v1/admin/tenants/{tenantId}","Central Admin","tenant.update","{""organization_name"":""Acme Updated""}","None","organization_name, organization_type, primary_contact_email, status, max_concurrent_users","200 OK with updated tenant resource","Updates tenant details."
"POST","/api/v1/admin/tenants/{tenantId}/suspend","Central Admin","tenant.update","None","None","None","200 OK with suspended tenant resource","Suspends a tenant."
"POST","/api/v1/admin/tenants/{tenantId}/reactivate","Central Admin","tenant.update","None","None","None","200 OK with reactivated tenant resource","Reactivates a tenant."
"POST","/api/v1/auth/login","Public","None","{""tenant_id"":""<tenant-uuid>"",""email"":""candidate@example.com"",""password"":""StrongPassword123!""}","email, password","tenant_id","200 OK with auth token and user profile","Tenant-scoped authentication."
"POST","/api/v1/auth/mfa/verify","Authenticated user","None","{""mfa_code"":""123456""}","mfa_code","None","200 OK or validation error","Verifies MFA code."
"POST","/api/v1/auth/password/forgot","Public","None","{""email"":""user@example.com""}","email","None","200 OK with generic success message","Starts password reset."
"POST","/api/v1/auth/password/reset","Public","None","{""token"":""<reset-token>"",""password"":""NewPassword123!"",""password_confirmation"":""NewPassword123!""}","token, password, password_confirmation","None","200 OK or validation error","Resets password."
"POST","/api/v1/auth/accept-invite","Public","None","{""token"":""<invite-token>"",""password"":""NewPassword123!"",""password_confirmation"":""NewPassword123!""}","token, password, password_confirmation","None","200 OK with activated account","Accepts invitation."
"GET","/api/v1/system/status","Public","None","None","None","None","200 OK with system status payload","Public health/status endpoint."
"GET","/api/v1/certificates/verify/{token}","Public","None","None","None","None","200 OK with certificate verification result","Verifies a certificate."
"POST","/api/v1/auth/logout","Authenticated user","None","None","None","None","204 No Content","Revokes current token."
"POST","/api/v1/auth/refresh","Authenticated user","None","None","None","None","200 OK with refreshed token","Refreshes auth token."
"POST","/api/v1/users","Tenant Admin","user.create","{""email"":""new.user@example.com"",""password"":""StrongPassword123!"",""password_confirmation"":""StrongPassword123!"",""first_name"":""New"",""last_name"":""User"",""user_type"":""staff""}","email, password, password_confirmation, first_name, last_name, user_type","external_employee_id, department_id, user_attributes","201 Created with user resource","Creates a tenant user."
"GET","/api/v1/users","Tenant Admin","user.viewAny","None","None","per_page","200 OK with paginated user list","Lists users."
"POST","/api/v1/users/invite","Tenant Admin","user.create","{""email"":""invitee@example.com"",""first_name"":""Invite"",""last_name"":""User"",""user_type"":""staff""}","email, first_name, last_name, user_type","external_employee_id, department_id, user_attributes","201 Created with invite record","Invites a user."
"GET","/api/v1/users/{userId}","Tenant Admin or self","user.view","None","None","None","200 OK with user profile","Shows one user."
"PATCH","/api/v1/users/{userId}","Tenant Admin or self","user.update","{""first_name"":""Jane"",""last_name"":""Doe""}","None","first_name, last_name, external_employee_id, user_type, department_id, status, user_attributes","200 OK with updated profile","Updates a user."
"POST","/api/v1/users/{userId}/reset-password","Tenant Admin or self","user.resetPassword","{""password"":""NewPassword123!"",""password_confirmation"":""NewPassword123!""}","password, password_confirmation","None","204 No Content","Resets a user password."
"POST","/api/v1/users/{userId}/deactivate","Tenant Admin","user.deactivate","None","None","None","204 No Content","Deactivates a user."
"GET","/api/v1/exam-sessions/{sessionId}/certificate","Authenticated user with access","None","None","None","None","200 OK with file download","Downloads certificate for a completed session."
"GET","/api/v1/exams/{examId}/results/export","Tenant Admin or evaluator","grading.view","None","None","None","200 OK with export file","Exports exam results."
"GET","/api/v1/roles","Tenant Admin","role.viewAny","None","None","per_page","200 OK with paginated role list","Lists roles."
"POST","/api/v1/roles","Tenant Admin","role.create","{""role_name"":""Custom Role"",""description"":""Custom role"",""role_category"":""operational""}","role_name, role_category","description, is_custom, role_metadata","201 Created with role resource","Creates a role."
"PATCH","/api/v1/roles/{roleId}","Tenant Admin","role.update","{""role_name"":""Updated Role""}","None","role_name, description, role_category, role_metadata","200 OK with updated role","Updates a role."
"DELETE","/api/v1/roles/{roleId}","Tenant Admin","role.delete","None","None","None","200/204 success","Deletes a role."
"POST","/api/v1/roles/{roleId}/users/{userId}","Tenant Admin","role.assign","None","None","None","200 OK","Assigns a role to a user."
"DELETE","/api/v1/roles/{roleId}/users/{userId}","Tenant Admin","role.assign","None","None","None","200/204 success","Removes a role assignment."
"GET","/api/v1/eligibility-chains","Tenant Admin","eligibility.view","None","None","None","200 OK with eligibility chain list","Lists eligibility chains."
"POST","/api/v1/eligibility-chains","Tenant Admin","eligibility.manage","{""chain_name"":""Chain A"",""description"":""Example chain""}","chain_name","description, rules","201 Created with chain resource","Creates eligibility chain."
"GET","/api/v1/eligibility-chains/{chainId}","Tenant Admin","eligibility.view","None","None","None","200 OK with chain resource","Shows one chain."
"PATCH","/api/v1/eligibility-chains/{chainId}","Tenant Admin","eligibility.manage","{""chain_name"":""Updated Chain""}","None","chain_name, description, rules","200 OK with updated chain","Updates a chain."
"DELETE","/api/v1/eligibility-chains/{chainId}","Tenant Admin","eligibility.manage","None","None","None","200/204 success","Deletes a chain."
"GET","/api/v1/security/policies","Tenant Admin","securityPolicy.view","None","None","None","200 OK with policy object","Shows security policy."
"PATCH","/api/v1/security/policies","Tenant Admin","securityPolicy.update","{""mfa_required"":false}","None","mfa_required, ip_whitelisting_enabled, allowed_ip_ranges, password_policy","200 OK with updated policy","Updates security policy."
"GET","/api/v1/identity/profile","Authenticated user","None","None","None","None","200 OK with profile payload","Gets current user profile."
"PATCH","/api/v1/identity/profile","Authenticated user","None","{""first_name"":""Jane""}","None","first_name, last_name, external_employee_id, user_type, department_id, user_attributes","200 OK with updated profile","Updates current profile."
"GET","/api/v1/identity/permissions","Authenticated user","None","None","None","None","200 OK with effective permissions","Lists effective permissions."
"GET","/api/v1/identity/sessions","Authenticated user","None","None","None","None","200 OK with active sessions","Lists active sessions."
"DELETE","/api/v1/identity/sessions/all","Authenticated user","None","None","None","None","204 No Content","Deletes all active sessions."
"DELETE","/api/v1/identity/sessions/{id}","Authenticated user","None","None","None","None","204 No Content","Deletes one active session."
"GET","/api/v1/categories/tree","Tenant Admin or Technical Evaluator","category.view","None","None","None","200 OK with category tree","Lists category tree."
"POST","/api/v1/categories","Tenant Admin or Technical Evaluator","category.manage","{""title"":""Math"",""description"":""Math category""}","title","parent_id, description","201 Created with category resource","Creates a category."
"PATCH","/api/v1/categories/{id}/move","Tenant Admin or Technical Evaluator","category.manage","{""parent_id"":""<uuid>""}","None","parent_id","200 OK with updated category","Moves a category."
"DELETE","/api/v1/categories/{id}","Tenant Admin or Technical Evaluator","category.manage","None","None","None","200/204 success","Deletes a category."
"POST","/api/v1/questions/bulk-import","Tenant Admin or Technical Evaluator","question.manage","{""questions"":[{""question_text"":""What is 2+2?""}]}","questions","None","201 Created or import summary","Bulk imports questions."
"GET","/api/v1/questions","Tenant Admin or Technical Evaluator","question.view","None","None","search, category_id, type","200 OK with paginated question list","Lists questions."
"POST","/api/v1/questions","Tenant Admin or Technical Evaluator","question.manage","{""category_id"":""<uuid>"",""title"":""Basic Addition"",""type"":""multiple_choice"",""question_text"":""What is 2+2?""}","category_id, title, type, question_text","stem, difficulty_level, choices, correct_answer","201 Created with question resource","Creates a question."
"GET","/api/v1/questions/{id}","Tenant Admin or Technical Evaluator","question.view","None","None","None","200 OK with single question resource","Shows a question."
"PUT/PATCH","/api/v1/questions/{id}","Tenant Admin or Technical Evaluator","question.manage","{""question_text"":""Updated question""}","None","title, category_id, question_text, difficulty_level, choices, correct_answer","200 OK with updated question","Updates a question."
"DELETE","/api/v1/questions/{id}","Tenant Admin or Technical Evaluator","question.manage","None","None","None","200/204 success","Deletes a question."
"GET","/api/v1/competencies/tree","Tenant Admin or Technical Evaluator","competency.view","None","None","None","200 OK with competency tree","Lists competency tree."
"POST","/api/v1/competencies","Tenant Admin or Technical Evaluator","competency.manage","{""name"":""Research"",""description"":""Research competency""}","name","parent_id, description","201 Created with competency resource","Creates a competency."
"PATCH","/api/v1/competencies/{id}/move","Tenant Admin or Technical Evaluator","competency.manage","{""parent_id"":""<uuid>""}","None","parent_id","200 OK with updated competency","Moves a competency."
"DELETE","/api/v1/competencies/{id}","Tenant Admin or Technical Evaluator","competency.manage","None","None","None","200/204 success","Deletes a competency."
"GET","/api/v1/exams","Tenant Admin or Technical Evaluator","exam.view","None","None","filters","200 OK with paginated exam list","Lists exams."
"POST","/api/v1/exams","Tenant Admin or Technical Evaluator","exam.manage","{""exam_name"":""Math Final"",""exam_code"":""MATH-FINAL"",""total_questions"":20,""total_duration_minutes"":60}","exam_name, exam_code, total_questions, total_duration_minutes","exam_description, assessment_mode, pass_mark_percentage","201 Created with exam resource","Creates an exam."
"GET","/api/v1/exams/{examId}","Tenant Admin or Technical Evaluator","exam.view","None","None","None","200 OK with exam resource","Shows one exam."
"PATCH","/api/v1/exams/{examId}","Tenant Admin or Technical Evaluator","exam.manage","{""exam_name"":""Updated Exam""}","None","exam_name, exam_code, exam_description, total_questions, total_duration_minutes","200 OK with updated exam","Updates an exam."
"DELETE","/api/v1/exams/{examId}","Tenant Admin or Technical Evaluator","exam.manage","None","None","None","200/204 success","Deletes an exam."
"POST","/api/v1/exams/{examId}/publish","Tenant Admin or Technical Evaluator","exam.publish","None","None","None","200 OK with updated publish state","Publishes an exam."
